,region,region name,year,symbol,label,unit,value,confidence
50,AL,Albania,2002,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
51,AL,Albania,2002,Q_PC,quantity applied on permanent crops,Gg N,4.493124640379529,Estimated
52,AL,Albania,2003,Q,total quantity of synthetic N fertilizer applied,Gg N,20.028,unprocessed
53,AL,Albania,2003,Q_AL,quantity applied on arable land,Gg N,15.39408265422301,Estimated
54,AL,Albania,2003,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
55,AL,Albania,2003,Q_PC,quantity applied on permanent crops,Gg N,4.633917345776989,Estimated
56,AL,Albania,2004,Q,total quantity of synthetic N fertilizer applied,Gg N,16.511,unprocessed
57,AL,Albania,2004,Q_AL,quantity applied on arable land,Gg N,12.979987916803925,Estimated
58,AL,Albania,2004,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
59,AL,Albania,2004,Q_PC,quantity applied on permanent crops,Gg N,3.5310120831960745,Estimated
60,AL,Albania,2005,Q,total quantity of synthetic N fertilizer applied,Gg N,17.281,unprocessed
61,AL,Albania,2005,Q_AL,quantity applied on arable land,Gg N,13.783164667268103,Estimated
62,AL,Albania,2005,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
63,AL,Albania,2005,Q_PC,quantity applied on permanent crops,Gg N,3.4978353327318947,Estimated
64,AL,Albania,2006,Q,total quantity of synthetic N fertilizer applied,Gg N,14.584,unprocessed
65,AL,Albania,2006,Q_AL,quantity applied on arable land,Gg N,11.917103383709689,Estimated
66,AL,Albania,2006,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
67,AL,Albania,2006,Q_PC,quantity applied on permanent crops,Gg N,2.6668966162903107,Estimated
68,AL,Albania,2007,Q,total quantity of synthetic N fertilizer applied,Gg N,14.803,unprocessed
69,AL,Albania,2007,Q_AL,quantity applied on arable land,Gg N,12.34843292245324,Estimated
70,AL,Albania,2007,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
71,AL,Albania,2007,Q_PC,quantity applied on permanent crops,Gg N,2.454567077546761,Estimated
72,AL,Albania,2008,Q,total quantity of synthetic N fertilizer applied,Gg N,13.442,unprocessed
73,AL,Albania,2008,Q_AL,quantity applied on arable land,Gg N,11.500446212842142,Estimated
74,AL,Albania,2008,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
75,AL,Albania,2008,Q_PC,quantity applied on permanent crops,Gg N,1.9415537871578572,Estimated
76,AL,Albania,2009,Q,total quantity of synthetic N fertilizer applied,Gg N,15.631,unprocessed
77,AL,Albania,2009,Q_AL,quantity applied on arable land,Gg N,12.869314362672164,Estimated
78,AL,Albania,2009,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
79,AL,Albania,2009,Q_PC,quantity applied on permanent crops,Gg N,2.7616856373278362,Estimated
80,AL,Albania,2010,Q,total quantity of synthetic N fertilizer applied,Gg N,16.566,unprocessed
81,AL,Albania,2010,Q_AL,quantity applied on arable land,Gg N,14.315027868881437,Estimated
82,AL,Albania,2010,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
83,AL,Albania,2010,Q_PC,quantity applied on permanent crops,Gg N,2.250972131118563,Estimated
84,AL,Albania,2011,Q,total quantity of synthetic N fertilizer applied,Gg N,17.966,unprocessed
85,AL,Albania,2011,Q_AL,quantity applied on arable land,Gg N,15.564529329509543,Estimated
86,AL,Albania,2011,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
87,AL,Albania,2011,Q_PC,quantity applied on permanent crops,Gg N,2.4014706704904585,Estimated
88,AL,Albania,2012,Q,total quantity of synthetic N fertilizer applied,Gg N,17.097,unprocessed
89,AL,Albania,2012,Q_AL,quantity applied on arable land,Gg N,14.134533453757438,Estimated
90,AL,Albania,2012,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
91,AL,Albania,2012,Q_PC,quantity applied on permanent crops,Gg N,2.9624665462425623,Estimated
92,AL,Albania,2013,Q,total quantity of synthetic N fertilizer applied,Gg N,17.293,unprocessed
93,AL,Albania,2013,Q_AL,quantity applied on arable land,Gg N,14.39761979668481,Estimated
94,AL,Albania,2013,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
95,AL,Albania,2013,Q_PC,quantity applied on permanent crops,Gg N,2.8953802033151894,Estimated
96,AL,Albania,2014,Q,total quantity of synthetic N fertilizer applied,Gg N,17.409,unprocessed
97,AL,Albania,2014,Q_AL,quantity applied on arable land,Gg N,14.582786153501333,Estimated
98,AL,Albania,2014,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
99,AL,Albania,2014,Q_PC,quantity applied on permanent crops,Gg N,2.826213846498666,Estimated
100,AL,Albania,2015,Q,total quantity of synthetic N fertilizer applied,Gg N,17.63,unprocessed
101,AL,Albania,2015,Q_AL,quantity applied on arable land,Gg N,14.7040660489459,Estimated
102,AL,Albania,2015,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
103,AL,Albania,2015,Q_PC,quantity applied on permanent crops,Gg N,2.9259339510540983,Estimated
104,AL,Albania,2016,Q,total quantity of synthetic N fertilizer applied,Gg N,17.751,unprocessed
105,AL,Albania,2016,Q_AL,quantity applied on arable land,Gg N,14.735060598998267,Estimated
106,AL,Albania,2016,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
107,AL,Albania,2016,Q_PC,quantity applied on permanent crops,Gg N,3.015939401001735,Estimated
108,AL,Albania,2017,Q,total quantity of synthetic N fertilizer applied,Gg N,18.105,unprocessed
109,AL,Albania,2017,Q_AL,quantity applied on arable land,Gg N,14.939450107610142,Estimated
110,AL,Albania,2017,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
111,AL,Albania,2017,Q_PC,quantity applied on permanent crops,Gg N,3.1655498923898593,Estimated
112,AL,Albania,2018,Q,total quantity of synthetic N fertilizer applied,Gg N,24.769,unprocessed
113,AL,Albania,2018,Q_AL,quantity applied on arable land,Gg N,20.26420822870012,Estimated
114,AL,Albania,2018,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
115,AL,Albania,2018,Q_PC,quantity applied on permanent crops,Gg N,4.504791771299876,Estimated
116,AL,Albania,2019,Q,total quantity of synthetic N fertilizer applied,Gg N,38.33,unprocessed
117,AL,Albania,2019,Q_AL,quantity applied on arable land,Gg N,31.1130814200388,Estimated
118,AL,Albania,2019,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
119,AL,Albania,2019,Q_PC,quantity applied on permanent crops,Gg N,7.2169185799612,Estimated
120,AT1,East Austria,1990,Q,total quantity of synthetic N fertilizer applied,Gg N,69.64401534598613,filled (b)
121,AT1,East Austria,1990,Q_AL,quantity applied on arable land,Gg N,66.37867805102847,Estimated
122,AT1,East Austria,1990,Q_PG,quantity applied on permanent grassland,Gg N,1.4270840437562302,Estimated
123,AT1,East Austria,1990,Q_PC,quantity applied on permanent crops,Gg N,1.8382532512014351,Estimated
124,AT1,East Austria,1991,Q,total quantity of synthetic N fertilizer applied,Gg N,67.74509967332476,filled (b)
125,AT1,East Austria,1991,Q_AL,quantity applied on arable land,Gg N,64.60765378299854,Estimated
126,AT1,East Austria,1991,Q_PG,quantity applied on permanent grassland,Gg N,1.3695919298901185,Estimated
127,AT1,East Austria,1991,Q_PC,quantity applied on permanent crops,Gg N,1.767853960436101,Estimated
128,AT1,East Austria,1992,Q,total quantity of synthetic N fertilizer applied,Gg N,63.639336056759625,filled (b)
129,AT1,East Austria,1992,Q_AL,quantity applied on arable land,Gg N,60.62159502920147,Estimated
130,AT1,East Austria,1992,Q_PG,quantity applied on permanent grassland,Gg N,1.2701439244054047,Estimated
131,AT1,East Austria,1992,Q_PC,quantity applied on permanent crops,Gg N,1.7475971031527529,Estimated
132,AT1,East Austria,1993,Q,total quantity of synthetic N fertilizer applied,Gg N,61.58645424847706,filled (b)
133,AT1,East Austria,1993,Q_AL,quantity applied on arable land,Gg N,58.72263183821213,Estimated
134,AT1,East Austria,1993,Q_PG,quantity applied on permanent grassland,Gg N,1.2341497453232724,Estimated
135,AT1,East Austria,1993,Q_PC,quantity applied on permanent crops,Gg N,1.629672664941655,Estimated
136,AT1,East Austria,1994,Q,total quantity of synthetic N fertilizer applied,Gg N,62.0996747005477,filled (b)
137,AT1,East Austria,1994,Q_AL,quantity applied on arable land,Gg N,59.19821963630554,Estimated
138,AT1,East Austria,1994,Q_PG,quantity applied on permanent grassland,Gg N,1.2470670803805988,Estimated
139,AT1,East Austria,1994,Q_PC,quantity applied on permanent crops,Gg N,1.654387983861571,Estimated
140,AT1,East Austria,1995,Q,total quantity of synthetic N fertilizer applied,Gg N,64.15255650883027,filled (b)
141,AT1,East Austria,1995,Q_AL,quantity applied on arable land,Gg N,60.94467453813693,Estimated
142,AT1,East Austria,1995,Q_PG,quantity applied on permanent grassland,Gg N,1.3641498833690042,Estimated
143,AT1,East Austria,1995,Q_PC,quantity applied on permanent crops,Gg N,1.8437320873243408,Estimated
144,AT1,East Austria,1996,Q,total quantity of synthetic N fertilizer applied,Gg N,64.31114162852009,filled (b)
145,AT1,East Austria,1996,Q_AL,quantity applied on arable land,Gg N,61.06528735264872,Estimated
146,AT1,East Austria,1996,Q_PG,quantity applied on permanent grassland,Gg N,1.3775777427908777,Estimated
147,AT1,East Austria,1996,Q_PC,quantity applied on permanent crops,Gg N,1.868276533080498,Estimated
148,AT1,East Austria,1997,Q,total quantity of synthetic N fertilizer applied,Gg N,67.65220677149998,filled (b)
149,AT1,East Austria,1997,Q_AL,quantity applied on arable land,Gg N,64.47080136044603,Estimated
150,AT1,East Austria,1997,Q_PG,quantity applied on permanent grassland,Gg N,1.4048919811052385,Estimated
151,AT1,East Austria,1997,Q_PC,quantity applied on permanent crops,Gg N,1.7765134299487009,Estimated
152,AT1,East Austria,1998,Q,total quantity of synthetic N fertilizer applied,Gg N,65.4545967957335,filled (b)
153,AT1,East Austria,1998,Q_AL,quantity applied on arable land,Gg N,62.41048199428839,Estimated
154,AT1,East Austria,1998,Q_PG,quantity applied on permanent grassland,Gg N,1.3455307541370185,Estimated
155,AT1,East Austria,1998,Q_PC,quantity applied on permanent crops,Gg N,1.698584047308092,Estimated
156,AT1,East Austria,1999,Q,total quantity of synthetic N fertilizer applied,Gg N,61.325738258825176,filled (b)
157,AT1,East Austria,1999,Q_AL,quantity applied on arable land,Gg N,58.452342057400465,Estimated
158,AT1,East Austria,1999,Q_PG,quantity applied on permanent grassland,Gg N,1.2897981986669238,Estimated
159,AT1,East Austria,1999,Q_PC,quantity applied on permanent crops,Gg N,1.5835980027577883,Estimated
160,AT1,East Austria,2000,Q,total quantity of synthetic N fertilizer applied,Gg N,70.74692609748594,filled (a)
161,AT1,East Austria,2000,Q_AL,quantity applied on arable land,Gg N,67.43459716115501,Estimated
162,AT1,East Austria,2000,Q_PG,quantity applied on permanent grassland,Gg N,1.5560075317413469,Estimated
163,AT1,East Austria,2000,Q_PC,quantity applied on permanent crops,Gg N,1.7563214045895803,Estimated
164,AT1,East Austria,2001,Q,total quantity of synthetic N fertilizer applied,Gg N,74.607,unprocessed
165,AT1,East Austria,2001,Q_AL,quantity applied on arable land,Gg N,71.12675802213342,Estimated
166,AT1,East Austria,2001,Q_PG,quantity applied on permanent grassland,Gg N,1.644286261404183,Estimated
167,AT1,East Austria,2001,Q_PC,quantity applied on permanent crops,Gg N,1.8359557164623947,Estimated
168,AT1,East Austria,2002,Q,total quantity of synthetic N fertilizer applied,Gg N,58.643,unprocessed
169,AT1,East Austria,2002,Q_AL,quantity applied on arable land,Gg N,55.919612925483854,Estimated
170,AT1,East Austria,2002,Q_PG,quantity applied on permanent grassland,Gg N,1.2889566154694727,Estimated
171,AT1,East Austria,2002,Q_PC,quantity applied on permanent crops,Gg N,1.4344304590466757,Estimated
172,AT1,East Austria,2003,Q,total quantity of synthetic N fertilizer applied,Gg N,62.515,unprocessed
173,AT1,East Austria,2003,Q_AL,quantity applied on arable land,Gg N,59.62336303192273,Estimated
174,AT1,East Austria,2003,Q_PG,quantity applied on permanent grassland,Gg N,1.379101757076384,Estimated
175,AT1,East Austria,2003,Q_PC,quantity applied on permanent crops,Gg N,1.5125352110008847,Estimated
176,AT1,East Austria,2004,Q,total quantity of synthetic N fertilizer applied,Gg N,49.884,unprocessed
177,AT1,East Austria,2004,Q_AL,quantity applied on arable land,Gg N,47.6329349146331,Estimated
178,AT1,East Austria,2004,Q_PG,quantity applied on permanent grassland,Gg N,1.089843841766512,Estimated
179,AT1,East Austria,2004,Q_PC,quantity applied on permanent crops,Gg N,1.161221243600392,Estimated
180,AT1,East Austria,2005,Q,total quantity of synthetic N fertilizer applied,Gg N,55.035,unprocessed
181,AT1,East Austria,2005,Q_AL,quantity applied on arable land,Gg N,52.49790851258769,Estimated
182,AT1,East Austria,2005,Q_PG,quantity applied on permanent grassland,Gg N,1.1937886539142406,Estimated
183,AT1,East Austria,2005,Q_PC,quantity applied on permanent crops,Gg N,1.3433028334980643,Estimated
184,AT1,East Austria,2006,Q,total quantity of synthetic N fertilizer applied,Gg N,54.846,unprocessed
185,AT1,East Austria,2006,Q_AL,quantity applied on arable land,Gg N,52.313878347594994,Estimated
186,AT1,East Austria,2006,Q_PG,quantity applied on permanent grassland,Gg N,1.1865112307544692,Estimated
187,AT1,East Austria,2006,Q_PC,quantity applied on permanent crops,Gg N,1.345610421650533,Estimated
188,AT1,East Austria,2007,Q,total quantity of synthetic N fertilizer applied,Gg N,59.614,unprocessed
189,AT1,East Austria,2007,Q_AL,quantity applied on arable land,Gg N,56.96767367714116,Estimated
190,AT1,East Austria,2007,Q_PG,quantity applied on permanent grassland,Gg N,1.2606263303403291,Estimated
191,AT1,East Austria,2007,Q_PC,quantity applied on permanent crops,Gg N,1.3856999925185134,Estimated
192,AT1,East Austria,2008,Q,total quantity of synthetic N fertilizer applied,Gg N,55.927,unprocessed
193,AT1,East Austria,2008,Q_AL,quantity applied on arable land,Gg N,53.4437856271343,Estimated
194,AT1,East Austria,2008,Q_PG,quantity applied on permanent grassland,Gg N,1.1613107288609106,Estimated
195,AT1,East Austria,2008,Q_PC,quantity applied on permanent crops,Gg N,1.3219036440047924,Estimated
196,AT1,East Austria,2009,Q,total quantity of synthetic N fertilizer applied,Gg N,43.209,unprocessed
197,AT1,East Austria,2009,Q_AL,quantity applied on arable land,Gg N,41.295924061755294,Estimated
198,AT1,East Austria,2009,Q_PG,quantity applied on permanent grassland,Gg N,0.8909015967482964,Estimated
199,AT1,East Austria,2009,Q_PC,quantity applied on permanent crops,Gg N,1.0221743414964188,Estimated
200,AT1,East Austria,2010,Q,total quantity of synthetic N fertilizer applied,Gg N,55.522,unprocessed
201,AT1,East Austria,2010,Q_AL,quantity applied on arable land,Gg N,53.05865873461335,Estimated
202,AT1,East Austria,2010,Q_PG,quantity applied on permanent grassland,Gg N,1.1638870343316905,Estimated
203,AT1,East Austria,2010,Q_PC,quantity applied on permanent crops,Gg N,1.2994542310549542,Estimated
204,AT1,East Austria,2011,Q,total quantity of synthetic N fertilizer applied,Gg N,43.41,unprocessed
205,AT1,East Austria,2011,Q_AL,quantity applied on arable land,Gg N,41.482518715522545,Estimated
206,AT1,East Austria,2011,Q_PG,quantity applied on permanent grassland,Gg N,0.9031977154919805,Estimated
207,AT1,East Austria,2011,Q_PC,quantity applied on permanent crops,Gg N,1.0242835689854712,Estimated
208,AT1,East Austria,2012,Q,total quantity of synthetic N fertilizer applied,Gg N,43.513,unprocessed
209,AT1,East Austria,2012,Q_AL,quantity applied on arable land,Gg N,41.595313523498824,Estimated
210,AT1,East Austria,2012,Q_PG,quantity applied on permanent grassland,Gg N,0.8944104374619944,Estimated
211,AT1,East Austria,2012,Q_PC,quantity applied on permanent crops,Gg N,1.0232760390391815,Estimated
212,AT1,East Austria,2013,Q,total quantity of synthetic N fertilizer applied,Gg N,54.483,unprocessed
213,AT1,East Austria,2013,Q_AL,quantity applied on arable land,Gg N,52.07982673444783,Estimated
214,AT1,East Austria,2013,Q_PG,quantity applied on permanent grassland,Gg N,1.1072626941242052,Estimated
215,AT1,East Austria,2013,Q_PC,quantity applied on permanent crops,Gg N,1.2959105714279648,Estimated
216,AT1,East Austria,2014,Q,total quantity of synthetic N fertilizer applied,Gg N,52.216,unprocessed
217,AT1,East Austria,2014,Q_AL,quantity applied on arable land,Gg N,49.889259682319164,Estimated
218,AT1,East Austria,2014,Q_PG,quantity applied on permanent grassland,Gg N,1.0625689113726418,Estimated
219,AT1,East Austria,2014,Q_PC,quantity applied on permanent crops,Gg N,1.2641714063081901,Estimated
220,AT1,East Austria,2015,Q,total quantity of synthetic N fertilizer applied,Gg N,63.67936725202114,filled (a)
221,AT1,East Austria,2015,Q_AL,quantity applied on arable land,Gg N,60.8095790188066,Estimated
222,AT1,East Austria,2015,Q_PG,quantity applied on permanent grassland,Gg N,1.3274146428754572,Estimated
223,AT1,East Austria,2015,Q_PC,quantity applied on permanent crops,Gg N,1.5423735903390716,Estimated
224,AT1,East Austria,2016,Q,total quantity of synthetic N fertilizer applied,Gg N,67.76100950733895,filled (a)
225,AT1,East Austria,2016,Q_AL,quantity applied on arable land,Gg N,64.64504927297932,Estimated
226,AT1,East Austria,2016,Q_PG,quantity applied on permanent grassland,Gg N,1.3724920197120414,Estimated
227,AT1,East Austria,2016,Q_PC,quantity applied on permanent crops,Gg N,1.7434682146475948,Estimated
228,AT1,East Austria,2017,Q,total quantity of synthetic N fertilizer applied,Gg N,57.42115705947173,filled (a)
229,AT1,East Austria,2017,Q_AL,quantity applied on arable land,Gg N,54.763323594456786,Estimated
230,AT1,East Austria,2017,Q_PG,quantity applied on permanent grassland,Gg N,1.1714790603529426,Estimated
231,AT1,East Austria,2017,Q_PC,quantity applied on permanent crops,Gg N,1.4863544046620016,Estimated
232,AT1,East Austria,2018,Q,total quantity of synthetic N fertilizer applied,Gg N,51.371314370463,filled (a)
233,AT1,East Austria,2018,Q_AL,quantity applied on arable land,Gg N,48.9816215838193,Estimated
234,AT1,East Austria,2018,Q_PG,quantity applied on permanent grassland,Gg N,1.0505679248652484,Estimated
235,AT1,East Austria,2018,Q_PC,quantity applied on permanent crops,Gg N,1.3391248617784524,Estimated
236,AT1,East Austria,2019,Q,total quantity of synthetic N fertilizer applied,Gg N,52.76522111828686,filled (a)
237,AT1,East Austria,2019,Q_AL,quantity applied on arable land,Gg N,50.3087812099882,Estimated
238,AT1,East Austria,2019,Q_PG,quantity applied on permanent grassland,Gg N,1.0811621427530047,Estimated
239,AT1,East Austria,2019,Q_PC,quantity applied on permanent crops,Gg N,1.3752777655456587,Estimated
240,AT2,Sud Austria,1990,Q,total quantity of synthetic N fertilizer applied,Gg N,29.169390165726757,filled (b)
241,AT2,Sud Austria,1990,Q_AL,quantity applied on arable land,Gg N,26.338185730516287,Estimated
242,AT2,Sud Austria,1990,Q_PG,quantity applied on permanent grassland,Gg N,1.9618668969456343,Estimated
243,AT2,Sud Austria,1990,Q_PC,quantity applied on permanent crops,Gg N,0.8693375382648382,Estimated
244,AT2,Sud Austria,1991,Q,total quantity of synthetic N fertilizer applied,Gg N,28.37405675663915,filled (b)
245,AT2,Sud Austria,1991,Q_AL,quantity applied on arable land,Gg N,25.63446305362914,Estimated
246,AT2,Sud Austria,1991,Q_PG,quantity applied on permanent grassland,Gg N,1.9007811499754677,Estimated
247,AT2,Sud Austria,1991,Q_PC,quantity applied on permanent crops,Gg N,0.8388125530345408,Estimated
248,AT2,Sud Austria,1992,Q,total quantity of synthetic N fertilizer applied,Gg N,26.65441695320647,filled (b)
249,AT2,Sud Austria,1992,Q_AL,quantity applied on arable land,Gg N,24.155250674593596,Estimated
250,AT2,Sud Austria,1992,Q_PG,quantity applied on permanent grassland,Gg N,1.7595214425070969,Estimated
251,AT2,Sud Austria,1992,Q_PC,quantity applied on permanent crops,Gg N,0.7396448361057784,Estimated
252,AT2,Sud Austria,1993,Q,total quantity of synthetic N fertilizer applied,Gg N,25.794597051490136,filled (b)
253,AT2,Sud Austria,1993,Q_AL,quantity applied on arable land,Gg N,23.361489026140948,Estimated
254,AT2,Sud Austria,1993,Q_PG,quantity applied on permanent grassland,Gg N,1.7142030267738841,Estimated
255,AT2,Sud Austria,1993,Q_PC,quantity applied on permanent crops,Gg N,0.7189049985753051,Estimated
256,AT2,Sud Austria,1994,Q,total quantity of synthetic N fertilizer applied,Gg N,26.00955202691922,filled (b)
257,AT2,Sud Austria,1994,Q_AL,quantity applied on arable land,Gg N,23.525976069926998,Estimated
258,AT2,Sud Austria,1994,Q_PG,quantity applied on permanent grassland,Gg N,1.7402159499603596,Estimated
259,AT2,Sud Austria,1994,Q_PC,quantity applied on permanent crops,Gg N,0.743360007031863,Estimated
260,AT2,Sud Austria,1995,Q,total quantity of synthetic N fertilizer applied,Gg N,26.869371928635555,filled (b)
261,AT2,Sud Austria,1995,Q_AL,quantity applied on arable land,Gg N,24.248737279948443,Estimated
262,AT2,Sud Austria,1995,Q_PG,quantity applied on permanent grassland,Gg N,1.8332723727545137,Estimated
263,AT2,Sud Austria,1995,Q_PC,quantity applied on permanent crops,Gg N,0.7873622759325962,Estimated
264,AT2,Sud Austria,1996,Q,total quantity of synthetic N fertilizer applied,Gg N,26.935793016043142,filled (b)
265,AT2,Sud Austria,1996,Q_AL,quantity applied on arable land,Gg N,24.252270858548542,Estimated
266,AT2,Sud Austria,1996,Q_PG,quantity applied on permanent grassland,Gg N,1.8603984381354692,Estimated
267,AT2,Sud Austria,1996,Q_PC,quantity applied on permanent crops,Gg N,0.8231237193591325,Estimated
268,AT2,Sud Austria,1997,Q,total quantity of synthetic N fertilizer applied,Gg N,28.33514990608648,filled (b)
269,AT2,Sud Austria,1997,Q_AL,quantity applied on arable land,Gg N,25.592009917655144,Estimated
270,AT2,Sud Austria,1997,Q_PG,quantity applied on permanent grassland,Gg N,1.9363344239729672,Estimated
271,AT2,Sud Austria,1997,Q_PC,quantity applied on permanent crops,Gg N,0.806805564458372,Estimated
272,AT2,Sud Austria,1998,Q,total quantity of synthetic N fertilizer applied,Gg N,27.414712701299145,filled (b)
273,AT2,Sud Austria,1998,Q_AL,quantity applied on arable land,Gg N,24.794525492202364,Estimated
274,AT2,Sud Austria,1998,Q_PG,quantity applied on permanent grassland,Gg N,1.8586230269894186,Estimated
275,AT2,Sud Austria,1998,Q_PC,quantity applied on permanent crops,Gg N,0.7615641821073613,Estimated
276,AT2,Sud Austria,1999,Q,total quantity of synthetic N fertilizer applied,Gg N,25.68539992397216,filled (b)
277,AT2,Sud Austria,1999,Q_AL,quantity applied on arable land,Gg N,23.18378276066791,Estimated
278,AT2,Sud Austria,1999,Q_PG,quantity applied on permanent grassland,Gg N,1.7585388284110233,Estimated
279,AT2,Sud Austria,1999,Q_PC,quantity applied on permanent crops,Gg N,0.7430783348932264,Estimated
280,AT2,Sud Austria,2000,Q,total quantity of synthetic N fertilizer applied,Gg N,29.63132840792386,filled (a)
281,AT2,Sud Austria,2000,Q_AL,quantity applied on arable land,Gg N,26.760976687586624,Estimated
