,region,region name,crop,year,symbol,label,unit,value,confidence
45,AL,Albania,Barley,2005,A,harvested area,Mha,0.0015,unprocessed
46,AL,Albania,Barley,2005,H,harvested quantity,Gg N,0.07216,unprocessed
47,AL,Albania,Barley,2005,Y,yield,kg N / ha,48.10666666666667,calculated
48,AL,Albania,Barley,2006,A,harvested area,Mha,0.0022,unprocessed
49,AL,Albania,Barley,2006,H,harvested quantity,Gg N,0.1056,unprocessed
50,AL,Albania,Barley,2006,Y,yield,kg N / ha,48.0,calculated
51,AL,Albania,Barley,2007,A,harvested area,Mha,0.0014,unprocessed
52,AL,Albania,Barley,2007,H,harvested quantity,Gg N,0.0616,unprocessed
53,AL,Albania,Barley,2007,Y,yield,kg N / ha,44.0,calculated
54,AL,Albania,Barley,2008,A,harvested area,Mha,0.0014,unprocessed
55,AL,Albania,Barley,2008,H,harvested quantity,Gg N,0.06336,unprocessed
56,AL,Albania,Barley,2008,Y,yield,kg N / ha,45.25714285714286,calculated
57,AL,Albania,Barley,2009,A,harvested area,Mha,0.0017,unprocessed
58,AL,Albania,Barley,2009,H,harvested quantity,Gg N,0.0792,unprocessed
59,AL,Albania,Barley,2009,Y,yield,kg N / ha,46.58823529411765,calculated
60,AL,Albania,Barley,2010,A,harvested area,Mha,0.0025,unprocessed
61,AL,Albania,Barley,2010,H,harvested quantity,Gg N,0.12848,unprocessed
62,AL,Albania,Barley,2010,Y,yield,kg N / ha,51.392,calculated
63,AL,Albania,Barley,2011,A,harvested area,Mha,0.0028,unprocessed
64,AL,Albania,Barley,2011,H,harvested quantity,Gg N,0.15312,unprocessed
65,AL,Albania,Barley,2011,Y,yield,kg N / ha,54.68571428571429,calculated
66,AL,Albania,Barley,2012,A,harvested area,Mha,0.0025,unprocessed
67,AL,Albania,Barley,2012,H,harvested quantity,Gg N,0.1232,unprocessed
68,AL,Albania,Barley,2012,Y,yield,kg N / ha,49.28,calculated
69,AL,Albania,Barley,2013,A,harvested area,Mha,0.0026,filled (c)
70,AL,Albania,Barley,2013,H,harvested quantity,Gg N,0.1232,filled (c)
71,AL,Albania,Barley,2013,Y,yield,kg N / ha,47.38461538461539,calculated
72,AL,Albania,Barley,2014,A,harvested area,Mha,0.0027,unprocessed
73,AL,Albania,Barley,2014,H,harvested quantity,Gg N,0.1232,unprocessed
74,AL,Albania,Barley,2014,Y,yield,kg N / ha,45.629629629629626,calculated
75,AL,Albania,Barley,2015,A,harvested area,Mha,0.0025,unprocessed
76,AL,Albania,Barley,2015,H,harvested quantity,Gg N,0.1232,unprocessed
77,AL,Albania,Barley,2015,Y,yield,kg N / ha,49.28,calculated
78,AL,Albania,Barley,2016,A,harvested area,Mha,0.0031,unprocessed
79,AL,Albania,Barley,2016,H,harvested quantity,Gg N,0.1584,unprocessed
80,AL,Albania,Barley,2016,Y,yield,kg N / ha,51.09677419354839,calculated
81,AL,Albania,Barley,2017,A,harvested area,Mha,0.0031,unprocessed
82,AL,Albania,Barley,2017,H,harvested quantity,Gg N,0.1584,unprocessed
83,AL,Albania,Barley,2017,Y,yield,kg N / ha,51.09677419354839,calculated
84,AL,Albania,Barley,2018,A,harvested area,Mha,0.0034,unprocessed
85,AL,Albania,Barley,2018,H,harvested quantity,Gg N,0.17072,unprocessed
86,AL,Albania,Barley,2018,Y,yield,kg N / ha,50.21176470588236,calculated
87,AL,Albania,Barley,2019,A,harvested area,Mha,0.0027,unprocessed
88,AL,Albania,Barley,2019,H,harvested quantity,Gg N,0.13904,unprocessed
89,AL,Albania,Barley,2019,Y,yield,kg N / ha,51.49629629629629,calculated
90,AL,Albania,Fodder crops,1990,A,harvested area,Mha,0.029,filled (c)
91,AL,Albania,Fodder crops,1990,H,harvested quantity,Gg N,2.408995804222889,corrected (e')
92,AL,Albania,Fodder crops,1990,Y,yield,kg N / ha,83.06882083527204,substituted
93,AL,Albania,Fodder crops,1991,A,harvested area,Mha,0.029,filled (c)
94,AL,Albania,Fodder crops,1991,H,harvested quantity,Gg N,2.422683280383245,corrected (e')
95,AL,Albania,Fodder crops,1991,Y,yield,kg N / ha,83.54080277183604,substituted
96,AL,Albania,Fodder crops,1992,A,harvested area,Mha,0.029,filled (c)
97,AL,Albania,Fodder crops,1992,H,harvested quantity,Gg N,2.4179701295195093,corrected (e')
98,AL,Albania,Fodder crops,1992,Y,yield,kg N / ha,83.37828032825894,substituted
99,AL,Albania,Fodder crops,1993,A,harvested area,Mha,0.029,filled (c)
100,AL,Albania,Fodder crops,1993,H,harvested quantity,Gg N,2.4500582327039577,corrected (e')
101,AL,Albania,Fodder crops,1993,Y,yield,kg N / ha,84.48476664496405,substituted
102,AL,Albania,Fodder crops,1994,A,harvested area,Mha,0.029,filled (c)
103,AL,Albania,Fodder crops,1994,H,harvested quantity,Gg N,2.463745708864318,corrected (e')
104,AL,Albania,Fodder crops,1994,Y,yield,kg N / ha,84.95674858152822,substituted
105,AL,Albania,Fodder crops,1995,A,harvested area,Mha,0.029,filled (c)
106,AL,Albania,Fodder crops,1995,H,harvested quantity,Gg N,2.456685021727018,corrected (e')
107,AL,Albania,Fodder crops,1995,Y,yield,kg N / ha,84.71327661127648,substituted
108,AL,Albania,Fodder crops,1996,A,harvested area,Mha,0.029,filled (c)
109,AL,Albania,Fodder crops,1996,H,harvested quantity,Gg N,2.4620199433409837,corrected (e')
110,AL,Albania,Fodder crops,1996,Y,yield,kg N / ha,84.89723942555116,substituted
111,AL,Albania,Fodder crops,1997,A,harvested area,Mha,0.029,filled (c)
112,AL,Albania,Fodder crops,1997,H,harvested quantity,Gg N,2.465662492165885,corrected (e')
113,AL,Albania,Fodder crops,1997,Y,yield,kg N / ha,85.0228445574443,substituted
114,AL,Albania,Fodder crops,1998,A,harvested area,Mha,0.029,filled (c)
115,AL,Albania,Fodder crops,1998,H,harvested quantity,Gg N,2.475096452916797,corrected (e')
116,AL,Albania,Fodder crops,1998,Y,yield,kg N / ha,85.34815354885507,substituted
117,AL,Albania,Fodder crops,1999,A,harvested area,Mha,0.029,filled (c)
118,AL,Albania,Fodder crops,1999,H,harvested quantity,Gg N,2.483883492406502,corrected (e')
119,AL,Albania,Fodder crops,1999,Y,yield,kg N / ha,85.65115491056902,substituted
120,AL,Albania,Fodder crops,2000,A,harvested area,Mha,0.029,filled (c)
121,AL,Albania,Fodder crops,2000,H,harvested quantity,Gg N,2.482545122217075,corrected (e')
122,AL,Albania,Fodder crops,2000,Y,yield,kg N / ha,85.60500421438189,substituted
123,AL,Albania,Fodder crops,2001,A,harvested area,Mha,0.029,filled (c)
124,AL,Albania,Fodder crops,2001,H,harvested quantity,Gg N,2.4657728173510085,corrected (e')
125,AL,Albania,Fodder crops,2001,Y,yield,kg N / ha,85.02664887417271,substituted
126,AL,Albania,Fodder crops,2002,A,harvested area,Mha,0.029,unprocessed
127,AL,Albania,Fodder crops,2002,H,harvested quantity,Gg N,2.448600209300458,corrected (e')
128,AL,Albania,Fodder crops,2002,Y,yield,kg N / ha,84.43448997587787,substituted
129,AL,Albania,Fodder crops,2003,A,harvested area,Mha,0.026,filled (c)
130,AL,Albania,Fodder crops,2003,H,harvested quantity,Gg N,2.2102780212214626,corrected (e')
131,AL,Albania,Fodder crops,2003,Y,yield,kg N / ha,85.01069312390241,substituted
132,AL,Albania,Fodder crops,2004,A,harvested area,Mha,0.023,filled (c)
133,AL,Albania,Fodder crops,2004,H,harvested quantity,Gg N,1.9574352527115224,corrected (e')
134,AL,Albania,Fodder crops,2004,Y,yield,kg N / ha,85.10588055267489,substituted
135,AL,Albania,Fodder crops,2005,A,harvested area,Mha,0.02,filled (c)
136,AL,Albania,Fodder crops,2005,H,harvested quantity,Gg N,1.7201858810528745,corrected (e')
137,AL,Albania,Fodder crops,2005,Y,yield,kg N / ha,86.00929405264372,substituted
138,AL,Albania,Fodder crops,2006,A,harvested area,Mha,0.017,filled (c)
139,AL,Albania,Fodder crops,2006,H,harvested quantity,Gg N,1.4672484844511031,corrected (e')
140,AL,Albania,Fodder crops,2006,Y,yield,kg N / ha,86.30873437947665,substituted
141,AL,Albania,Fodder crops,2007,A,harvested area,Mha,0.014,filled (c)
142,AL,Albania,Fodder crops,2007,H,harvested quantity,Gg N,1.2017605398530167,corrected (e')
143,AL,Albania,Fodder crops,2007,Y,yield,kg N / ha,85.84003856092976,substituted
144,AL,Albania,Fodder crops,2008,A,harvested area,Mha,0.011,unprocessed
145,AL,Albania,Fodder crops,2008,H,harvested quantity,Gg N,0.9325947216287496,corrected (e')
146,AL,Albania,Fodder crops,2008,Y,yield,kg N / ha,84.78133832988632,substituted
147,AL,Albania,Fodder crops,2009,A,harvested area,Mha,0.0118333333333333,filled (c)
148,AL,Albania,Fodder crops,2009,H,harvested quantity,Gg N,1.0022323744067358,corrected (e')
149,AL,Albania,Fodder crops,2009,Y,yield,kg N / ha,84.69569361183707,substituted
150,AL,Albania,Fodder crops,2010,A,harvested area,Mha,0.0126666666666666,filled (c)
151,AL,Albania,Fodder crops,2010,H,harvested quantity,Gg N,1.0742121341103161,corrected (e')
152,AL,Albania,Fodder crops,2010,Y,yield,kg N / ha,84.80622111397277,substituted
153,AL,Albania,Fodder crops,2011,A,harvested area,Mha,0.0135,filled (c)
154,AL,Albania,Fodder crops,2011,H,harvested quantity,Gg N,1.1811924847044688,corrected (e')
155,AL,Albania,Fodder crops,2011,Y,yield,kg N / ha,87.49573960773843,substituted
156,AL,Albania,Fodder crops,2012,A,harvested area,Mha,0.0143333333333333,filled (c)
157,AL,Albania,Fodder crops,2012,H,harvested quantity,Gg N,1.2807853460682626,corrected (e')
158,AL,Albania,Fodder crops,2012,Y,yield,kg N / ha,89.35711716755341,substituted
159,AL,Albania,Fodder crops,2013,A,harvested area,Mha,0.0151666666666666,filled (c)
160,AL,Albania,Fodder crops,2013,H,harvested quantity,Gg N,1.3516412777244933,corrected (e')
161,AL,Albania,Fodder crops,2013,Y,yield,kg N / ha,89.11920512469226,substituted
162,AL,Albania,Fodder crops,2014,A,harvested area,Mha,0.016,unprocessed
163,AL,Albania,Fodder crops,2014,H,harvested quantity,Gg N,1.3762251638123513,corrected (e')
164,AL,Albania,Fodder crops,2014,Y,yield,kg N / ha,86.01407273827195,substituted
165,AL,Albania,Fodder crops,2015,A,harvested area,Mha,0.0153,unprocessed
166,AL,Albania,Fodder crops,2015,H,harvested quantity,Gg N,1.3089610924147757,corrected (e')
167,AL,Albania,Fodder crops,2015,Y,yield,kg N / ha,85.55301257612913,substituted
168,AL,Albania,Fodder crops,2016,A,harvested area,Mha,0.0146,unprocessed
169,AL,Albania,Fodder crops,2016,H,harvested quantity,Gg N,1.2484135057746277,corrected (e')
170,AL,Albania,Fodder crops,2016,Y,yield,kg N / ha,85.50777436812518,substituted
171,AL,Albania,Fodder crops,2017,A,harvested area,Mha,0.016,unprocessed
172,AL,Albania,Fodder crops,2017,H,harvested quantity,Gg N,1.373131398383286,corrected (e')
173,AL,Albania,Fodder crops,2017,Y,yield,kg N / ha,85.82071239895538,substituted
174,AL,Albania,Fodder crops,2018,A,harvested area,Mha,0.015,unprocessed
175,AL,Albania,Fodder crops,2018,H,harvested quantity,Gg N,1.2854638586841485,corrected (e')
176,AL,Albania,Fodder crops,2018,Y,yield,kg N / ha,85.69759057894323,substituted
177,AL,Albania,Fodder crops,2019,A,harvested area,Mha,0.02213,unprocessed
178,AL,Albania,Fodder crops,2019,H,harvested quantity,Gg N,1.8876132432898904,corrected (e')
179,AL,Albania,Fodder crops,2019,Y,yield,kg N / ha,85.29657674152239,substituted
180,AL,Albania,Forage legumes,1990,A,harvested area,Mha,0.104,filled (c)
181,AL,Albania,Forage legumes,1990,H,harvested quantity,Gg N,11.367964091840824,corrected (e')
182,AL,Albania,Forage legumes,1990,Y,yield,kg N / ha,109.307347036931,substituted
183,AL,Albania,Forage legumes,1991,A,harvested area,Mha,0.104,filled (c)
184,AL,Albania,Forage legumes,1991,H,harvested quantity,Gg N,11.4325547969081,corrected (e')
185,AL,Albania,Forage legumes,1991,Y,yield,kg N / ha,109.92841150873174,substituted
186,AL,Albania,Forage legumes,1992,A,harvested area,Mha,0.104,filled (c)
187,AL,Albania,Forage legumes,1992,H,harvested quantity,Gg N,11.497145501975378,corrected (e')
188,AL,Albania,Forage legumes,1992,Y,yield,kg N / ha,110.54947598053249,substituted
189,AL,Albania,Forage legumes,1993,A,harvested area,Mha,0.104,filled (c)
190,AL,Albania,Forage legumes,1993,H,harvested quantity,Gg N,11.561736207042657,corrected (e')
191,AL,Albania,Forage legumes,1993,Y,yield,kg N / ha,111.17054045233324,substituted
192,AL,Albania,Forage legumes,1994,A,harvested area,Mha,0.104,filled (c)
193,AL,Albania,Forage legumes,1994,H,harvested quantity,Gg N,11.626326912109933,corrected (e')
194,AL,Albania,Forage legumes,1994,Y,yield,kg N / ha,111.79160492413398,substituted
195,AL,Albania,Forage legumes,1995,A,harvested area,Mha,0.104,filled (c)
196,AL,Albania,Forage legumes,1995,H,harvested quantity,Gg N,11.69091761717721,corrected (e')
197,AL,Albania,Forage legumes,1995,Y,yield,kg N / ha,112.41266939593471,substituted
198,AL,Albania,Forage legumes,1996,A,harvested area,Mha,0.104,filled (c)
199,AL,Albania,Forage legumes,1996,H,harvested quantity,Gg N,11.75550832224449,corrected (e')
200,AL,Albania,Forage legumes,1996,Y,yield,kg N / ha,113.03373386773548,substituted
201,AL,Albania,Forage legumes,1997,A,harvested area,Mha,0.104,filled (c)
202,AL,Albania,Forage legumes,1997,H,harvested quantity,Gg N,11.820099027311766,corrected (e')
203,AL,Albania,Forage legumes,1997,Y,yield,kg N / ha,113.65479833953621,substituted
204,AL,Albania,Forage legumes,1998,A,harvested area,Mha,0.104,filled (c)
205,AL,Albania,Forage legumes,1998,H,harvested quantity,Gg N,11.884689732379043,corrected (e')
206,AL,Albania,Forage legumes,1998,Y,yield,kg N / ha,114.27586281133695,substituted
207,AL,Albania,Forage legumes,1999,A,harvested area,Mha,0.104,filled (c)
208,AL,Albania,Forage legumes,1999,H,harvested quantity,Gg N,11.94928043744632,corrected (e')
209,AL,Albania,Forage legumes,1999,Y,yield,kg N / ha,114.89692728313771,substituted
210,AL,Albania,Forage legumes,2000,A,harvested area,Mha,0.104,filled (c)
211,AL,Albania,Forage legumes,2000,H,harvested quantity,Gg N,12.013871142513597,corrected (e')
212,AL,Albania,Forage legumes,2000,Y,yield,kg N / ha,115.51799175493844,substituted
213,AL,Albania,Forage legumes,2001,A,harvested area,Mha,0.104,filled (c)
214,AL,Albania,Forage legumes,2001,H,harvested quantity,Gg N,12.078461847580877,corrected (e')
215,AL,Albania,Forage legumes,2001,Y,yield,kg N / ha,116.13905622673921,substituted
216,AL,Albania,Forage legumes,2002,A,harvested area,Mha,0.104,unprocessed
217,AL,Albania,Forage legumes,2002,H,harvested quantity,Gg N,12.143052552648152,corrected (e')
218,AL,Albania,Forage legumes,2002,Y,yield,kg N / ha,116.76012069853992,substituted
219,AL,Albania,Forage legumes,2003,A,harvested area,Mha,0.1036,filled (c)
220,AL,Albania,Forage legumes,2003,H,harvested quantity,Gg N,12.160690783647294,corrected (e')
221,AL,Albania,Forage legumes,2003,Y,yield,kg N / ha,117.38118517034067,substituted
222,AL,Albania,Forage legumes,2004,A,harvested area,Mha,0.1032,filled (c)
223,AL,Albania,Forage legumes,2004,H,harvested quantity,Gg N,12.177832163068995,corrected (e')
224,AL,Albania,Forage legumes,2004,Y,yield,kg N / ha,118.00224964214142,substituted
225,AL,Albania,Forage legumes,2005,A,harvested area,Mha,0.1028,filled (c)
226,AL,Albania,Forage legumes,2005,H,harvested quantity,Gg N,12.194476690913255,corrected (e')
227,AL,Albania,Forage legumes,2005,Y,yield,kg N / ha,118.62331411394217,substituted
228,AL,Albania,Forage legumes,2006,A,harvested area,Mha,0.1023999999999999,filled (c)
229,AL,Albania,Forage legumes,2006,H,harvested quantity,Gg N,12.210624367180062,corrected (e')
230,AL,Albania,Forage legumes,2006,Y,yield,kg N / ha,119.24437858574291,substituted
231,AL,Albania,Forage legumes,2007,A,harvested area,Mha,0.102,filled (c)
232,AL,Albania,Forage legumes,2007,H,harvested quantity,Gg N,12.226275191869451,corrected (e')
233,AL,Albania,Forage legumes,2007,Y,yield,kg N / ha,119.86544305754364,substituted
234,AL,Albania,Forage legumes,2008,A,harvested area,Mha,0.1016,unprocessed
235,AL,Albania,Forage legumes,2008,H,harvested quantity,Gg N,12.24142916498139,corrected (e')
236,AL,Albania,Forage legumes,2008,Y,yield,kg N / ha,120.4865075293444,substituted
237,AL,Albania,Forage legumes,2009,A,harvested area,Mha,0.1160333333333333,filled (c)
238,AL,Albania,Forage legumes,2009,H,harvested quantity,Gg N,14.052515271199539,corrected (e')
239,AL,Albania,Forage legumes,2009,Y,yield,kg N / ha,121.10757200114516,substituted
240,AL,Albania,Forage legumes,2010,A,harvested area,Mha,0.1304666666666666,filled (c)
241,AL,Albania,Forage legumes,2010,H,harvested quantity,Gg N,15.881529438503666,corrected (e')
242,AL,Albania,Forage legumes,2010,Y,yield,kg N / ha,121.7286364729459,substituted
243,AL,Albania,Forage legumes,2011,A,harvested area,Mha,0.1448999999999999,filled (c)
244,AL,Albania,Forage legumes,2011,H,harvested quantity,Gg N,17.72847166689377,corrected (e')
245,AL,Albania,Forage legumes,2011,Y,yield,kg N / ha,122.34970094474662,substituted
246,AL,Albania,Forage legumes,2012,A,harvested area,Mha,0.1593333333333333,filled (c)
247,AL,Albania,Forage legumes,2012,H,harvested quantity,Gg N,19.593341956369876,corrected (e')
248,AL,Albania,Forage legumes,2012,Y,yield,kg N / ha,122.97076541654737,substituted
249,AL,Albania,Forage legumes,2013,A,harvested area,Mha,0.1737666666666666,filled (c)
250,AL,Albania,Forage legumes,2013,H,harvested quantity,Gg N,21.476140306931953,corrected (e')
251,AL,Albania,Forage legumes,2013,Y,yield,kg N / ha,123.59182988834814,substituted
252,AL,Albania,Forage legumes,2014,A,harvested area,Mha,0.1881999999999999,unprocessed
253,AL,Albania,Forage legumes,2014,H,harvested quantity,Gg N,23.37686671858001,corrected (e')
254,AL,Albania,Forage legumes,2014,Y,yield,kg N / ha,124.21289436014891,substituted
255,AL,Albania,Forage legumes,2015,A,harvested area,Mha,0.1432,unprocessed
256,AL,Albania,Forage legumes,2015,H,harvested quantity,Gg N,17.876222904735183,corrected (e')
257,AL,Albania,Forage legumes,2015,Y,yield,kg N / ha,124.83395883194962,substituted
258,AL,Albania,Forage legumes,2016,A,harvested area,Mha,0.1437,unprocessed
259,AL,Albania,Forage legumes,2016,H,harvested quantity,Gg N,18.027886848748924,corrected (e')
260,AL,Albania,Forage legumes,2016,Y,yield,kg N / ha,125.45502330375035,substituted
261,AL,Albania,Forage legumes,2017,A,harvested area,Mha,0.144,unprocessed
262,AL,Albania,Forage legumes,2017,H,harvested quantity,Gg N,18.15495663967936,corrected (e')
263,AL,Albania,Forage legumes,2017,Y,yield,kg N / ha,126.0760877755511,substituted
264,AL,Albania,Forage legumes,2018,A,harvested area,Mha,0.2024,unprocessed
265,AL,Albania,Forage legumes,2018,H,harvested quantity,Gg N,25.643503614864017,corrected (e')
266,AL,Albania,Forage legumes,2018,Y,yield,kg N / ha,126.69715224735187,substituted
267,AL,Albania,Forage legumes,2019,A,harvested area,Mha,0.19797,unprocessed
268,AL,Albania,Forage legumes,2019,H,harvested quantity,Gg N,25.20518736389064,corrected (e')
269,AL,Albania,Forage legumes,2019,Y,yield,kg N / ha,127.3182167191526,substituted
270,AL,Albania,Grain maize,1990,A,harvested area,Mha,0.1050573665915449,filled (b)
271,AL,Albania,Grain maize,1990,H,harvested quantity,Gg N,6.1685315787166575,filled (b)
272,AL,Albania,Grain maize,1990,Y,yield,kg N / ha,58.71584048645958,calculated
273,AL,Albania,Grain maize,1991,A,harvested area,Mha,0.0708692066159913,filled (b)
274,AL,Albania,Grain maize,1991,H,harvested quantity,Gg N,3.123761626009017,filled (b)
275,AL,Albania,Grain maize,1991,Y,yield,kg N / ha,44.077841070456614,calculated
276,AL,Albania,Grain maize,1992,A,harvested area,Mha,0.0626782932885149,filled (b)
277,AL,Albania,Grain maize,1992,H,harvested quantity,Gg N,3.04476995270764,filled (b)
278,AL,Albania,Grain maize,1992,Y,yield,kg N / ha,48.577741877754036,calculated
279,AL,Albania,Grain maize,1993,A,harvested area,Mha,0.0883194132701801,filled (b)
280,AL,Albania,Grain maize,1993,H,harvested quantity,Gg N,4.782586765337944,filled (b)
281,AL,Albania,Grain maize,1993,Y,yield,kg N / ha,54.151025105968664,calculated
282,AL,Albania,Grain maize,1994,A,harvested area,Mha,0.0936613132663603,filled (b)
283,AL,Albania,Grain maize,1994,H,harvested quantity,Gg N,4.638965541153621,filled (b)
284,AL,Albania,Grain maize,1994,Y,yield,kg N / ha,49.52915327976473,calculated
285,AL,Albania,Grain maize,1995,A,harvested area,Mha,0.0808407532755277,filled (b)
286,AL,Albania,Grain maize,1995,H,harvested quantity,Gg N,4.631784479944405,filled (b)
287,AL,Albania,Grain maize,1995,Y,yield,kg N / ha,57.29516725503533,calculated
288,AL,Albania,Grain maize,1996,A,harvested area,Mha,0.0730059666144634,filled (b)
289,AL,Albania,Grain maize,1996,H,harvested quantity,Gg N,3.6192548494449306,filled (b)
290,AL,Albania,Grain maize,1996,Y,yield,kg N / ha,49.57478158679582,calculated
291,AL,Albania,Grain maize,1997,A,harvested area,Mha,0.0755700786126299,filled (b)
292,AL,Albania,Grain maize,1997,H,harvested quantity,Gg N,4.322998847948111,filled (b)
293,AL,Albania,Grain maize,1997,Y,yield,kg N / ha,57.205165421458425,calculated
294,AL,Albania,Grain maize,1998,A,harvested area,Mha,0.0752495646128591,filled (b)
295,AL,Albania,Grain maize,1998,H,harvested quantity,Gg N,4.328743696915484,filled (b)
296,AL,Albania,Grain maize,1998,Y,yield,kg N / ha,57.525166015057074,calculated
297,AL,Albania,Grain maize,1999,A,harvested area,Mha,0.0633905466213389,filled (b)
298,AL,Albania,Grain maize,1999,H,harvested quantity,Gg N,3.5725779515850253,filled (b)
299,AL,Albania,Grain maize,1999,Y,yield,kg N / ha,56.35821336146048,calculated
300,AL,Albania,Grain maize,2000,A,harvested area,Mha,0.053,unprocessed
301,AL,Albania,Grain maize,2000,H,harvested quantity,Gg N,3.1266399999999996,unprocessed
302,AL,Albania,Grain maize,2000,Y,yield,kg N / ha,58.9932075471698,calculated
303,AL,Albania,Grain maize,2001,A,harvested area,Mha,0.052,unprocessed
304,AL,Albania,Grain maize,2001,H,harvested quantity,Gg N,3.01416,unprocessed
305,AL,Albania,Grain maize,2001,Y,yield,kg N / ha,57.964615384615385,calculated
306,AL,Albania,Grain maize,2002,A,harvested area,Mha,0.05,unprocessed
307,AL,Albania,Grain maize,2002,H,harvested quantity,Gg N,2.9989600000000003,unprocessed
308,AL,Albania,Grain maize,2002,Y,yield,kg N / ha,59.979200000000006,calculated
309,AL,Albania,Grain maize,2003,A,harvested area,Mha,0.0482999999999999,unprocessed
310,AL,Albania,Grain maize,2003,H,harvested quantity,Gg N,2.998656,unprocessed
311,AL,Albania,Grain maize,2003,Y,yield,kg N / ha,62.08397515527963,calculated
312,AL,Albania,Grain maize,2004,A,harvested area,Mha,0.0467999999999999,unprocessed
313,AL,Albania,Grain maize,2004,H,harvested quantity,Gg N,3.1333279999999997,unprocessed
314,AL,Albania,Grain maize,2004,Y,yield,kg N / ha,66.95145299145314,calculated
315,AL,Albania,Grain maize,2005,A,harvested area,Mha,0.0484,unprocessed
316,AL,Albania,Grain maize,2005,H,harvested quantity,Gg N,3.186984,unprocessed
317,AL,Albania,Grain maize,2005,Y,yield,kg N / ha,65.84677685950413,calculated
318,AL,Albania,Grain maize,2006,A,harvested area,Mha,0.049,unprocessed
319,AL,Albania,Grain maize,2006,H,harvested quantity,Gg N,3.556648,unprocessed
320,AL,Albania,Grain maize,2006,Y,yield,kg N / ha,72.58465306122449,calculated
321,AL,Albania,Grain maize,2007,A,harvested area,Mha,0.0462,unprocessed
322,AL,Albania,Grain maize,2007,H,harvested quantity,Gg N,3.1290720000000003,unprocessed
323,AL,Albania,Grain maize,2007,Y,yield,kg N / ha,67.72883116883118,calculated
